Tape Size,Feeder Number,Component,XOffset,YOffset,Height,Speed,Head,Relative Tape Angle,Feed Spacing,Place Component,Check Vacuum,Use Vision,Centroid Correction X,Centroid Correction Y,Aliases,Used On
8mm,1,10pF-0603,2.2,-0.08,0.5,0,1,0,4,Y,Y,Y,0,0,,
8mm,2,1.0uF-0603 25V,0.16,0.07,0.5,0,1,0,4,Y,Y,Y,0,0,1uF-0603-CAP:1.0uF-0603:1.0uF/25V-0805,
8mm,3,100pF-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,,Flexible OLED
8mm,4,BSS138,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,,
8mm,5,0.1uF-0603 25V,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,0.1uF-0603-CAP:0.1uF-0603:0.1uF/25V-0603,
8mm,6,4.7k-0603,0.02,0,0.5,0,1,0,4,Y,Y,Y,0,0,,
8mm,7,10k-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,10k-0603-RES,
8mm,8,Red-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,RED-LED-0603,
8mm,9,Green-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,GREEN-LED-0603,
8mm,10,2.2k-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,,"Finger Sensor, IMU BNO080"
8mm,11,20-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,,GridEYE
8mm,12,3.3V-SOT-23-5,0.25,0,0.5,0,1,90,4,Y,Y,Y,0,0,3.3V-SOT23-5,
8mm,13,Schottky-SOD-323,-0.25,0,0.5,0,1,-180,4,Y,Y,Y,0,0,1A/23V/620mV-SOD-323,
8mm,14,4.7uF-0603 10V,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,4.7uF-C_0603:4.7uF-0603,
8mm,15,100k-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,,
8mm,16,1k-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,,
8mm,17,2.2uF-0603 16V,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,2.2uF/25V-0805:2.2uF-0603,Finger Sensor/Flex OLED
8mm,18,47k-0603,1.21,0,0.5,0,1,0,4,Y,Y,Y,0,0,,Flexible OLED
8mm,19,5.6k-0603,0.55,0,0.5,0,1,0,4,Y,Y,Y,0,0,,Flexible OLED
8mm,20,10uH-3x3,0,0,0.5,0,1,90,4,Y,Y,Y,0,0,10uH-INDUCTOR_3X3,Flexible OLED
8mm,21,VReg-Boost,-0.11,0,0.5,0,1,90,4,Y,Y,Y,0,0,AP3012-SOT23-5,Flexible OLED
8mm,22,10uF-0603 10V,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,10uF-0603,GridEYE
12mm,23,,,,,,,,,,,,,,,
12mm,24,BNO080,0,0,0.5,0,2,90,8,Y,Y,Y,0,0,BNO080-LGA-28,BNO080 IMU
12mm,25,MLX90393,0,0,0.5,0,1,0,0,Y,Y,Y,0,0,MLX90393,
12mm,26,,0,0,0.5,0,1,0,0,Y,Y,Y,0,0,,
16mm,27,TXB0104-SO14,0.79,0,0.5,0,2,180,4,Y,Y,Y,0,-2,,Flexible OLED
16mm,28,OLED-Connector,0.25,0,0.5,0,1,180,8,Y,Y,Y,0,0,OEL_1.8OEL:OEL_1.8OEL_Y3B,Flexible OLED
24mm,29,,0,0,0.5,0,1,0,0,Y,Y,Y,0,0,,
NoMount,,No Mount,,,,,,,,N,,,,,FIDUCIAL:SMT-JUMPER:JUMPER-SMT:SPARKX-LOGO:CC_LICENSE:OSHW-LOGO,
Stop,,Stop,,,,,,,,,,,,,,
,,,,Below are known values for reels that are used periodically,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8mm,1,Blank,0,0,0.5,0,1,0,0,Y,Y,Y,,,,
8mm,,2.2k-0603,0,0,0.5,0,1,0,4,Y,Y,Y,,,,"Finger Sensor, IMU BNO080"
12mm,23,VLNC4040,0,0,0.5,0,2,-90,4,Y,Y,Y,,,VCNL4040-VCNL4040,Finger Sensor
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12mm,24,MMA8452Q,0,0,0.5,40,2,180,8,Y,Y,Y,0,0,MMA8452Q,Accel
8mm,3,330-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,,
8mm,3,100pF-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,,
12mm,24,BME680,0,0,0.5,0,2,180,8,Y,Y,Y,0,0,BME680,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4mm,1,1.0uF-0805,0,0,0.5,0,1,0,0,Y,Y,Y,0,0,,Flexible OLED
16mm,27,Qwiic-Connector,0.79,0,0.5,0,2,0,12,Y,Y,Y,0,-2,SMD-1X04_1MM_RA:JST-1X04_1MM_RA:-1X04_1MM_RA:Qwiic_Connector-1X04_1MM_RA,
12mm,23,RFD77402,0,0,0.5,0,2,90,8,Y,Y,Y,0,0,RFD77402-RFD77402,Distance sensor
8mm,11,Yellow-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,YELLOW-LED-0603,
8mm,10,Blue-0603,0,0,0.5,0,1,0,4,Y,Y,Y,0,0,BLUE-LED-0603,
